"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"House of God, Holy Church of the Living God, The Pillar and Ground of the Truth, House of Prayer for All People","Black Protestant","","1","",""
"Independent Conservative Brethren","Evangelical Protestant","Friends/Brethren Family","8","307","0.02"
"Independent Judaism","Judaism","","9","205","0.02"
"Independent Lutheran Diocese","Evangelical Protestant","","1","25","0.00"
"International Churches of Christ","Evangelical Protestant","Baptist Family","5","1,092","0.08"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","19","2,724","0.21"
"International Communion of the Charismatic Episcopal Church","Evangelical Protestant","Anglican/Episcopal Family","1","",""
"International Council of Community Churches","Mainline Protestant","Presbyterian/Reformed Family","1","",""
"International Fellowship of Bible Churches","Evangelical Protestant","Holiness Family","9","",""
"International Fellowship of Christian Assemblies","Evangelical Protestant","Pentecostal Family","13","",""
"Jain","Other","Other Groups Family","5","",""
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","337","83,140","6.39"
"Keystone Mennonite Fellowship","Evangelical Protestant","","23","2,728","0.21"
"Latvian Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","1","",""
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","72","12,071","0.93"
"Lutheran Congregations in Mission for Christ","Evangelical Protestant","Lutheran Family","16","2,780","0.21"
"Macedonian Orthodox Church: American-Canadian Diocese","Orthodox","Eastern Liturgical (Orthodox) Family","1","50","0.00"
"Malankara Archdiocese of the Syrian Orthodox Church in North America","Orthodox","Eastern Liturgical (Orthodox) Family","2","568","0.04"
"Malankara (Indian) Orthodox Syrian Church","Orthodox","Eastern Liturgical (Orthodox) Family","8","2,232","0.17"
"Malankara Mar Thoma Church","Other Christians","Other Groups Family","5","829","0.06"
"Maranatha Amish Mennonite","Evangelical Protestant","Mennonite/Amish Family","2","370","0.03"
"Meadow Springs Old Order Mennonite","Evangelical Protestant","Mennonite/Amish Family","1","307","0.02"
"Mennonite Christian Fellowship","Evangelical Protestant","Mennonite/Amish Family","5","594","0.05"
"Mennonite Church, USA","Evangelical Protestant","Mennonite/Amish Family","83","13,263","1.02"
"Mid-Atlantic Mennonite Fellowship","Evangelical Protestant","Mennonite/Amish Family","25","3,007","0.23"
"Midwest Mennonite Fellowship","Evangelical Protestant","Mennonite/Amish Family","1","85","0.01"
